Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
320,"Route Planning, Collision Avoidance and Situational Awareness Controller Process Memory Tampered",Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,"If Route Planning, Collision Avoidance and Situational Awareness Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Weather Monitoring System executes (for example, passing back a function pointer.), then Route Planning, Collision Avoidance and Situational Awareness Controller can tamper with Weather Monitoring System. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
321,Potential Lack of Input Validation for Weather Monitoring System,Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Weather Monitoring System or an elevation of privilege attack against Weather Monitoring System or an information disclosure by Weather Monitoring System. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
322,Spoofing the Weather Monitoring System Process,Spoofing,Navigation Automation System,Optimal Process Command,High,Not Started,,"Weather Monitoring System may be spoofed by an attacker and this may lead to information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Consider using a standard authentication mechanism to identify the destination process.",,Generated
323,Cross Site Request Forgery,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
324,Elevation by Changing the Execution Flow in Dynamic Monitoring System,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,An attacker may pass data into Dynamic Monitoring System in order to change the flow of program execution within Dynamic Monitoring System to the attacker's choosing.,,Generated
325,Dynamic Monitoring System May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be able to remotely execute code for Dynamic Monitoring System.",,Generated
326,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Dynamic Monitoring System may be able to impersonate the context of Route Planning, Collision Avoidance and Situational Awareness Controller in order to gain additional privilege.",,Generated
327,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
328,Potential Process Crash or Stop for Dynamic Monitoring System,Denial Of Service,Navigation Automation System,Optimal Process Command,High,Not Started,,"Dynamic Monitoring System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
1207,Spoofing the Cargo Management System Process,Spoofing,MASS,Server Response,High,Not Started,,Cargo Management System may be spoofed by an attacker and this may lead to information disclosure by Application Server. Consider using a standard authentication mechanism to identify the destination process.,,Generated
330,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
331,Potential Data Repudiation by Dynamic Monitoring System,Repudiation,Navigation Automation System,Optimal Process Command,High,Not Started,,"Dynamic Monitoring System claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1206,Spoofing the Application Server Process,Spoofing,MASS,Server Response,High,Not Started,,Application Server may be spoofed by an attacker and this may lead to unauthorized access to Cargo Management System. Consider using a standard authentication mechanism to identify the source process.,,Generated
1205,Elevation by Changing the Execution Flow in Navigation Automation System,Elevation Of Privilege,MASS,Server Response,High,Not Started,,An attacker may pass data into Navigation Automation System in order to change the flow of program execution within Navigation Automation System to the attacker's choosing.,,Generated
334,Spoofing the Network Interface System Process,Spoofing,Navigation Automation System,Internal Process Information,High,Not Started,,Network Interface System may be spoofed by an attacker and this may lead to information disclosure by Automatic Navigation System. Consider using a standard authentication mechanism to identify the destination process.,,Generated
335,Potential Lack of Input Validation for Network Interface System,Tampering,Navigation Automation System,Internal Process Information,High,Not Started,,Data flowing across Internal Process Information may be tampered with by an attacker. This may lead to a denial of service attack against Network Interface System or an elevation of privilege attack against Network Interface System or an information disclosure by Network Interface System. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
1099,Spoofing the Engine Automation Controller Process,Spoofing,Engine Automation System,Performance Data,High,Not Started,,Engine Automation Controller may be spoofed by an attacker and this may lead to unauthorized access to Engine Control System. Consider using a standard authentication mechanism to identify the source process.,,Generated
1098,Spoofing the Engine Automation Controller Process,Spoofing,Engine Automation System,Optimal Process Command,High,Not Started,,Engine Automation Controller may be spoofed by an attacker and this may lead to unauthorized access to Fuel System Process Server. Consider using a standard authentication mechanism to identify the source process.,,Generated
338,Potential Data Repudiation by Network Interface System,Repudiation,Navigation Automation System,Internal Process Information,High,Not Started,,"Network Interface System claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
339,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Internal Process Information,High,Not Started,,"Data flowing across Internal Process Information may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
340,Weak Credential Transit,Information Disclosure,Navigation Automation System,Internal Process Information,High,Not Started,,"Credentials on the wire are often subject to sniffing by an attacker. Are the credentials re-usable/re-playable? Are credentials included in a message? For example, sending a zip file with the password in the email. Use strong cryptography for the transmission of credentials. Use the OS libraries if at all possible, and consider cryptographic algorithm agility, rather than hardcoding a choice.",,Generated
1191,Potential Process Crash or Stop for Engine Automation System,Denial Of Service,MASS,Server Response,High,Not Started,,"Engine Automation System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
342,Potential Process Crash or Stop for Network Interface System,Denial Of Service,Navigation Automation System,Internal Process Information,High,Not Started,,"Network Interface System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
343,Data Flow Internal Process Information Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Internal Process Information,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
344,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Internal Process Information,High,Not Started,,Network Interface System may be able to impersonate the context of Automatic Navigation System in order to gain additional privilege.,,Generated
345,Network Interface System May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Navigation Automation System,Internal Process Information,High,Not Started,,Automatic Navigation System may be able to remotely execute code for Network Interface System.,,Generated
346,Elevation by Changing the Execution Flow in Network Interface System,Elevation Of Privilege,Navigation Automation System,Internal Process Information,High,Not Started,,An attacker may pass data into Network Interface System in order to change the flow of program execution within Network Interface System to the attacker's choosing.,,Generated
347,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"AIS may be able to impersonate the context of Route Planning, Collision Avoidance and Situational Awareness Controller in order to gain additional privilege.",,Generated
348,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
349,Potential Process Crash or Stop for AIS,Denial Of Service,Navigation Automation System,Optimal Process Command,High,Not Started,,"AIS crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
1204,Navigation Automation System May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,MASS,Server Response,High,Not Started,,Application Server may be able to remotely execute code for Navigation Automation System.,,Generated
351,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
352,Potential Data Repudiation by AIS,Repudiation,Navigation Automation System,Optimal Process Command,High,Not Started,,"AIS claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1203,Elevation Using Impersonation,Elevation Of Privilege,MASS,Server Response,High,Not Started,,Navigation Automation System may be able to impersonate the context of Application Server in order to gain additional privilege.,,Generated
1202,Data Flow Server Response Is Potentially Interrupted,Denial Of Service,MASS,Server Response,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
355,"Route Planning, Collision Avoidance and Situational Awareness Controller Process Memory Tampered",Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,"If Route Planning, Collision Avoidance and Situational Awareness Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what AIS executes (for example, passing back a function pointer.), then Route Planning, Collision Avoidance and Situational Awareness Controller can tamper with AIS. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
356,Potential Lack of Input Validation for AIS,Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against AIS or an elevation of privilege attack against AIS or an information disclosure by AIS. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
357,Spoofing the AIS Process,Spoofing,Navigation Automation System,Optimal Process Command,High,Not Started,,"AIS may be spoofed by an attacker and this may lead to information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Consider using a standard authentication mechanism to identify the destination process.",,Generated
358,Elevation Using Impersonation,Elevation Of Privilege,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Heat Sensors may be able to impersonate the context of Emergency monitor, response and alert controller in order to gain additional privilege.",,Generated
359,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Safety and Emergency System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
360,Potential Process Crash or Stop for Heat Sensors,Denial Of Service,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Heat Sensors crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
361,"Route Planning, Collision Avoidance and Situational Awareness Controller Process Memory Tampered",Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,"If Route Planning, Collision Avoidance and Situational Awareness Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Dynamic Monitoring System executes (for example, passing back a function pointer.), then Route Planning, Collision Avoidance and Situational Awareness Controller can tamper with Dynamic Monitoring System. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
362,Potential Lack of Input Validation for Dynamic Monitoring System,Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Dynamic Monitoring System or an elevation of privilege attack against Dynamic Monitoring System or an information disclosure by Dynamic Monitoring System. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
363,Spoofing the Dynamic Monitoring System Process,Spoofing,Navigation Automation System,Optimal Process Command,High,Not Started,,"Dynamic Monitoring System may be spoofed by an attacker and this may lead to information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Consider using a standard authentication mechanism to identify the destination process.",,Generated
364,Cross Site Request Forgery,Elevation Of Privilege,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
365,"Elevation by Changing the Execution Flow in Route Planning, Collision Avoidance and Situational Awareness Controller",Elevation Of Privilege,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"An attacker may pass data into Route Planning, Collision Avoidance and Situational Awareness Controller in order to change the flow of program execution within Route Planning, Collision Avoidance and Situational Awareness Controller to the attacker's choosing.",,Generated
366,"Route Planning, Collision Avoidance and Situational Awareness Controller May be Subject to Elevation of Privilege Using Remote Code Execution",Elevation Of Privilege,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Dynamic Monitoring System may be able to remotely execute code for Route Planning, Collision Avoidance and Situational Awareness Controller.",,Generated
367,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be able to impersonate the context of Dynamic Monitoring System in order to gain additional privilege.",,Generated
368,Data Flow Heartbeat/ Real time data Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
369,"Potential Process Crash or Stop for Route Planning, Collision Avoidance and Situational Awareness Controller",Denial Of Service,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
370,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Data flowing across Heartbeat/ Real time data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
371,"Potential Data Repudiation by Route Planning, Collision Avoidance and Situational Awareness Controller",Repudiation,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
372,"Potential Lack of Input Validation for Route Planning, Collision Avoidance and Situational Awareness Controller",Tampering,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Data flowing across Heartbeat/ Real time data may be tampered with by an attacker. This may lead to a denial of service attack against Route Planning, Collision Avoidance and Situational Awareness Controller or an elevation of privilege attack against Route Planning, Collision Avoidance and Situational Awareness Controller or an information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.",,Generated
373,"Spoofing the Route Planning, Collision Avoidance and Situational Awareness Controller Process",Spoofing,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be spoofed by an attacker and this may lead to information disclosure by Dynamic Monitoring System. Consider using a standard authentication mechanism to identify the destination process.",,Generated
374,Spoofing the Dynamic Monitoring System Process,Spoofing,Navigation Automation System,Heartbeat/ Real time data,High,Not Started,,"Dynamic Monitoring System may be spoofed by an attacker and this may lead to unauthorized access to Route Planning, Collision Avoidance and Situational Awareness Controller. Consider using a standard authentication mechanism to identify the source process.",,Generated
1185,Elevation by Changing the Execution Flow in Safety and Emergency System,Elevation Of Privilege,MASS,Version Control,High,Not Started,,An attacker may pass data into Safety and Emergency System in order to change the flow of program execution within Safety and Emergency System to the attacker's choosing.,,Generated
376,Data Flow Sniffing,Information Disclosure,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
377,Potential Data Repudiation by Heat Sensors,Repudiation,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Heat Sensors claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1176,Spoofing the Patch Manager Process,Spoofing,MASS,Version Control,High,Not Started,,Patch Manager may be spoofed by an attacker and this may lead to unauthorized access to Safety and Emergency System. Consider using a standard authentication mechanism to identify the source process.,,Generated
1175,Elevation by Changing the Execution Flow in Cargo Management System,Elevation Of Privilege,MASS,Version Control,High,Not Started,,An attacker may pass data into Cargo Management System in order to change the flow of program execution within Cargo Management System to the attacker's choosing.,,Generated
380,"Emergency monitor, response and alert controller Process Memory Tampered",Tampering,Safety and Emergency System,Optimal Process Command,High,Not Started,,"If Emergency monitor, response and alert controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Heat Sensors executes (for example, passing back a function pointer.), then Emergency monitor, response and alert controller can tamper with Heat Sensors. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
381,Potential Lack of Input Validation for Heat Sensors,Tampering,Safety and Emergency System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Heat Sensors or an elevation of privilege attack against Heat Sensors or an information disclosure by Heat Sensors. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
382,Spoofing the Heat Sensors Process,Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Heat Sensors may be spoofed by an attacker and this may lead to information disclosure by Emergency monitor, response and alert controller. Consider using a standard authentication mechanism to identify the destination process.",,Generated
383,Cross Site Request Forgery,Elevation Of Privilege,Safety and Emergency System,Heartbeat/ Light Spatial Data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
384,"Elevation by Changing the Execution Flow in Emergency monitor, response and alert controller",Elevation Of Privilege,Safety and Emergency System,Heartbeat/ Light Spatial Data,High,Not Started,,"An attacker may pass data into Emergency monitor, response and alert controller in order to change the flow of program execution within Emergency monitor, response and alert controller to the attacker's choosing.",,Generated
385,"Emergency monitor, response and alert controller May be Subject to Elevation of Privilege Using Remote Code Execution",Elevation Of Privilege,Safety and Emergency System,Heartbeat/ Light Spatial Data,High,Not Started,,"LIDAR may be able to remotely execute code for Emergency monitor, response and alert controller.",,Generated
386,Cross Site Request Forgery,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
387,Elevation by Changing the Execution Flow in GPS,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,An attacker may pass data into GPS in order to change the flow of program execution within GPS to the attacker's choosing.,,Generated
388,GPS May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be able to remotely execute code for GPS.",,Generated
389,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"GPS may be able to impersonate the context of Route Planning, Collision Avoidance and Situational Awareness Controller in order to gain additional privilege.",,Generated
390,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
391,Potential Process Crash or Stop for GPS,Denial Of Service,Navigation Automation System,Optimal Process Command,High,Not Started,,"GPS crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
1201,Potential Process Crash or Stop for Navigation Automation System,Denial Of Service,MASS,Server Response,High,Not Started,,"Navigation Automation System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
393,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
394,Potential Data Repudiation by GPS,Repudiation,Navigation Automation System,Optimal Process Command,High,Not Started,,"GPS claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1200,Data Flow Sniffing,Information Disclosure,MASS,Server Response,High,Not Started,,"Data flowing across Server Response may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
1199,Potential Data Repudiation by Navigation Automation System,Repudiation,MASS,Server Response,High,Not Started,,"Navigation Automation System claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
397,"Route Planning, Collision Avoidance and Situational Awareness Controller Process Memory Tampered",Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,"If Route Planning, Collision Avoidance and Situational Awareness Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what GPS executes (for example, passing back a function pointer.), then Route Planning, Collision Avoidance and Situational Awareness Controller can tamper with GPS. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
398,Potential Lack of Input Validation for GPS,Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against GPS or an elevation of privilege attack against GPS or an information disclosure by GPS. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
399,Spoofing the GPS Process,Spoofing,Navigation Automation System,Optimal Process Command,High,Not Started,,"GPS may be spoofed by an attacker and this may lead to information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Consider using a standard authentication mechanism to identify the destination process.",,Generated
400,Cross Site Request Forgery,Elevation Of Privilege,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
401,"Elevation by Changing the Execution Flow in Route Planning, Collision Avoidance and Situational Awareness Controller",Elevation Of Privilege,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"An attacker may pass data into Route Planning, Collision Avoidance and Situational Awareness Controller in order to change the flow of program execution within Route Planning, Collision Avoidance and Situational Awareness Controller to the attacker's choosing.",,Generated
402,"Route Planning, Collision Avoidance and Situational Awareness Controller May be Subject to Elevation of Privilege Using Remote Code Execution",Elevation Of Privilege,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"GPS may be able to remotely execute code for Route Planning, Collision Avoidance and Situational Awareness Controller.",,Generated
403,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be able to impersonate the context of GPS in order to gain additional privilege.",,Generated
404,Data Flow Heartbeat/ Positioning Data Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
405,"Potential Process Crash or Stop for Route Planning, Collision Avoidance and Situational Awareness Controller",Denial Of Service,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
406,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"Data flowing across Heartbeat/ Positioning Data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
407,"Potential Data Repudiation by Route Planning, Collision Avoidance and Situational Awareness Controller",Repudiation,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
408,"Potential Lack of Input Validation for Route Planning, Collision Avoidance and Situational Awareness Controller",Tampering,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"Data flowing across Heartbeat/ Positioning Data may be tampered with by an attacker. This may lead to a denial of service attack against Route Planning, Collision Avoidance and Situational Awareness Controller or an elevation of privilege attack against Route Planning, Collision Avoidance and Situational Awareness Controller or an information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.",,Generated
409,"Spoofing the Route Planning, Collision Avoidance and Situational Awareness Controller Process",Spoofing,Navigation Automation System,Heartbeat/ Positioning Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be spoofed by an attacker and this may lead to information disclosure by GPS. Consider using a standard authentication mechanism to identify the destination process.",,Generated
